,age,educational-num,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,gender,native-country
34677,49,9,0,1672,98,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
31030,23,13,0,0,40,Private,Never-married,Sales,Not-in-family,White,Male,United-States
30678,52,9,0,0,60,Self-emp-inc,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
17044,53,16,0,0,70,Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
21280,58,10,0,0,55,Local-gov,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
43609,31,9,0,0,50,Private,Divorced,Exec-managerial,Not-in-family,White,Male,United-States
21699,59,10,0,0,43,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
5437,28,10,0,1902,40,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
18856,19,6,0,0,40,Private,Never-married,Sales,Unmarried,Black,Female,United-States
3872,46,10,0,0,40,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
23167,56,4,0,0,40,Private,Divorced,Transport-moving,Unmarried,White,Male,United-States
6335,35,13,0,0,50,Private,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
29524,58,10,0,0,40,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
26459,43,10,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
8456,37,13,0,0,39,Private,Never-married,Other-service,Not-in-family,White,Male,United-States
29999,21,10,0,0,15,Private,Never-married,Other-service,Own-child,White,Male,United-States
10850,22,10,0,0,40,Unknown,Never-married,Unknown,Own-child,White,Male,United-States
44736,27,9,0,0,40,Local-gov,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
23352,56,13,0,0,45,Private,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
20663,49,9,0,0,40,Private,Divorced,Machine-op-inspct,Not-in-family,Black,Female,United-States
3179,18,9,0,0,40,Private,Never-married,Sales,Own-child,Black,Female,United-States
7311,46,9,0,0,40,Private,Divorced,Craft-repair,Not-in-family,White,Male,United-States
47234,34,9,0,0,40,Private,Never-married,Machine-op-inspct,Unmarried,Black,Male,United-States
39185,36,9,0,0,40,Private,Never-married,Craft-repair,Own-child,Black,Male,United-States
38005,43,9,0,0,40,Federal-gov,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
28262,46,10,0,1977,50,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
8064,46,10,0,0,40,State-gov,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
18425,34,9,0,0,40,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,Puerto-Rico
20589,35,9,0,0,99,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
35734,26,10,0,0,12,State-gov,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
27656,37,10,0,0,40,State-gov,Married-civ-spouse,Other-service,Husband,White,Male,United-States
5537,50,9,0,0,40,Private,Divorced,Craft-repair,Other-relative,White,Male,United-States
23845,36,9,0,0,40,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
34824,29,13,0,0,40,Private,Never-married,Sales,Unmarried,Black,Male,United-States
29754,34,9,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
2710,23,10,0,0,30,Private,Never-married,Sales,Not-in-family,Black,Female,United-States
22893,19,9,0,0,50,Private,Never-married,Other-service,Not-in-family,White,Female,United-States
3278,41,14,0,0,65,Private,Never-married,Prof-specialty,Not-in-family,Black,Male,United-States
3225,39,14,0,0,40,Local-gov,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
12478,41,7,0,0,40,Private,Never-married,Machine-op-inspct,Not-in-family,Black,Male,United-States
26175,50,13,0,0,40,Local-gov,Divorced,Protective-serv,Not-in-family,White,Male,United-States
46051,24,12,0,0,30,State-gov,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
40160,38,10,7688,0,40,State-gov,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
19474,33,8,0,0,40,Private,Divorced,Machine-op-inspct,Unmarried,Black,Female,United-States
25693,24,10,0,0,30,Private,Never-married,Handlers-cleaners,Own-child,White,Female,United-States
33837,25,13,0,0,40,Private,Never-married,Sales,Not-in-family,Black,Female,United-States
39414,42,10,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
9023,42,10,0,0,45,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
1243,29,13,0,0,50,Private,Never-married,Sales,Own-child,White,Female,United-States
16522,41,9,0,0,20,Self-emp-not-inc,Married-civ-spouse,Other-service,Wife,White,Female,United-States
420,65,2,0,0,40,Private,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,Unknown
29646,18,10,0,0,24,Unknown,Never-married,Unknown,Own-child,Black,Female,United-States
3387,50,10,0,0,40,Private,Divorced,Tech-support,Not-in-family,White,Female,United-States
48784,47,9,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
24548,39,13,0,0,50,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
48782,71,5,0,0,40,Private,Married-civ-spouse,Other-service,Husband,White,Male,United-States
2489,37,13,0,0,60,Local-gov,Never-married,Other-service,Not-in-family,Black,Male,United-States
3724,53,10,0,1590,50,Private,Divorced,Prof-specialty,Not-in-family,White,Male,United-States
2606,54,14,7298,0,35,Federal-gov,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
21826,21,10,0,0,40,Local-gov,Never-married,Adm-clerical,Own-child,White,Male,United-States
239,31,9,0,0,40,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
43375,24,11,0,0,40,Private,Never-married,Craft-repair,Own-child,White,Male,United-States
12282,39,9,0,0,40,Federal-gov,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
36813,41,7,0,0,55,Private,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
1229,53,10,0,0,45,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
26496,29,13,0,0,40,Private,Never-married,Prof-specialty,Not-in-family,Black,Male,United-States
14313,57,16,0,1887,70,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
3833,27,10,0,0,40,Local-gov,Married-civ-spouse,Adm-clerical,Own-child,White,Female,United-States
46337,18,9,0,0,20,Private,Never-married,Other-service,Own-child,White,Female,United-States
25715,46,9,0,0,43,Private,Divorced,Tech-support,Not-in-family,White,Female,United-States
14392,49,10,0,1977,60,Self-emp-inc,Married-civ-spouse,Exec-managerial,Wife,White,Female,China
34792,33,15,0,0,40,Private,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
15523,39,3,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
10684,57,9,0,0,42,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,Italy
33844,71,13,11678,0,45,Private,Never-married,Craft-repair,Not-in-family,White,Male,United-States
34579,33,9,0,0,40,Local-gov,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Male,United-States
7834,38,4,3781,0,78,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
25690,22,10,0,0,40,Unknown,Never-married,Unknown,Own-child,White,Male,United-States
3868,38,9,0,0,43,Private,Married-civ-spouse,Other-service,Wife,White,Female,United-States
32687,28,11,0,0,45,Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
9065,33,6,0,0,40,Private,Never-married,Farming-fishing,Not-in-family,White,Male,United-States
4205,50,12,0,0,48,Self-emp-inc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
11324,72,10,0,0,6,Private,Widowed,Adm-clerical,Not-in-family,White,Female,United-States
27352,58,6,0,0,50,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
41821,39,14,0,1977,24,Private,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
17158,38,11,0,0,40,Private,Divorced,Adm-clerical,Unmarried,White,Female,United-States
48303,38,9,0,0,40,Private,Divorced,Sales,Unmarried,White,Female,United-States
11501,34,9,0,0,55,Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
3284,31,5,0,0,65,Private,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
10939,45,16,0,1408,40,Self-emp-not-inc,Separated,Prof-specialty,Not-in-family,White,Male,United-States
31944,33,10,0,0,10,Federal-gov,Never-married,Other-service,Not-in-family,White,Female,United-States
4746,49,9,0,0,40,Private,Married-civ-spouse,Craft-repair,Wife,Black,Female,United-States
21170,28,9,0,0,45,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
36273,43,13,0,0,35,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
95,20,9,0,0,40,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
7998,59,9,7688,0,40,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
11174,24,9,0,0,60,Local-gov,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
35878,19,9,0,0,40,Private,Never-married,Craft-repair,Not-in-family,White,Female,United-States
38522,27,10,0,0,45,Private,Never-married,Adm-clerical,Not-in-family,White,Female,Unknown
30280,37,7,0,0,40,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
2834,37,7,0,0,40,Private,Separated,Adm-clerical,Unmarried,Black,Female,United-States
30620,43,10,0,0,40,Federal-gov,Divorced,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,United-States
13985,30,9,0,0,65,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
43918,39,12,0,0,40,Private,Married-civ-spouse,Tech-support,Husband,White,Male,France
31273,43,13,0,0,40,Private,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
5168,31,10,0,0,20,Private,Divorced,Adm-clerical,Unmarried,White,Female,United-States
17304,34,10,0,0,40,Private,Married-civ-spouse,Other-service,Husband,White,Male,United-States
34053,46,9,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
3583,41,11,0,0,45,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
30375,17,6,0,0,30,State-gov,Never-married,Other-service,Own-child,White,Male,United-States
37865,30,9,0,0,40,Private,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
38484,18,6,0,0,6,Local-gov,Never-married,Protective-serv,Own-child,White,Female,United-States
15366,35,13,0,0,50,Unknown,Married-civ-spouse,Unknown,Husband,White,Male,United-States
30575,39,14,0,1848,50,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
27227,29,11,0,0,40,Private,Never-married,Adm-clerical,Own-child,White,Female,United-States
28365,40,11,0,0,40,State-gov,Never-married,Craft-repair,Not-in-family,White,Male,United-States
8776,35,13,0,0,37,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
30983,41,9,0,0,40,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
33392,45,13,0,0,40,Private,Divorced,Adm-clerical,Unmarried,White,Female,Germany
28194,37,9,0,0,50,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
759,35,13,0,1876,55,Private,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
35156,37,14,0,0,40,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
24138,30,14,0,0,40,Local-gov,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
22844,49,9,0,0,52,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
26414,57,9,0,0,40,Private,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
3436,23,9,0,0,20,Private,Never-married,Sales,Own-child,Black,Male,United-States
32382,58,9,0,0,40,Private,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States
40917,24,13,0,0,40,Unknown,Divorced,Unknown,Not-in-family,White,Female,United-States
41019,57,14,0,0,55,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
44904,33,7,0,0,65,Private,Never-married,Craft-repair,Not-in-family,White,Male,United-States
32431,23,10,0,0,30,Private,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,United-States
40333,62,9,0,0,20,Private,Married-civ-spouse,Other-service,Husband,White,Male,United-States
24760,30,10,15024,0,60,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
22279,40,9,0,0,45,Private,Divorced,Craft-repair,Not-in-family,White,Male,United-States
20523,42,10,0,0,40,Private,Divorced,Craft-repair,Own-child,White,Male,United-States
5291,17,6,0,0,20,Private,Never-married,Other-service,Own-child,White,Female,United-States
3705,20,9,0,0,35,Private,Never-married,Adm-clerical,Not-in-family,Black,Female,Outlying-US(Guam-USVI-etc)
30627,46,14,0,0,65,Local-gov,Divorced,Exec-managerial,Unmarried,White,Female,United-States
35361,47,10,99999,0,60,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
21622,19,9,0,0,24,Private,Never-married,Machine-op-inspct,Own-child,White,Male,United-States
37903,47,10,0,0,40,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
37678,42,14,0,0,40,Federal-gov,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
5795,22,1,594,0,20,Private,Never-married,Other-service,Own-child,Black,Female,Jamaica
27051,38,10,0,0,40,Private,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,Philippines
43897,23,13,0,0,40,Private,Never-married,Adm-clerical,Own-child,White,Female,United-States
37536,51,14,0,0,40,Self-emp-inc,Married-civ-spouse,Sales,Husband,White,Male,United-States
38028,33,12,0,0,36,Private,Never-married,Sales,Not-in-family,Other,Male,United-States
3540,29,1,0,0,40,Unknown,Never-married,Unknown,Not-in-family,Black,Male,South
41503,44,10,7688,0,45,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
7917,45,9,0,0,60,Private,Never-married,Farming-fishing,Not-in-family,White,Male,United-States
7985,29,9,0,0,30,Self-emp-not-inc,Married-civ-spouse,Other-service,Wife,White,Female,United-States
404,43,9,0,0,65,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
40460,24,13,0,0,20,Local-gov,Never-married,Prof-specialty,Own-child,White,Female,United-States
14620,18,10,0,0,40,Private,Never-married,Tech-support,Not-in-family,White,Female,United-States
9757,46,9,0,0,40,Private,Divorced,Craft-repair,Unmarried,White,Male,United-States
32369,54,10,0,0,60,Private,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States
42217,46,9,3674,0,30,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
25841,42,10,0,0,40,Local-gov,Divorced,Craft-repair,Not-in-family,White,Male,United-States
38902,43,10,0,0,40,Private,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
17556,51,13,0,0,40,Local-gov,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
44713,27,9,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
43264,36,13,4386,0,50,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
39576,39,9,8614,0,50,Self-emp-not-inc,Divorced,Farming-fishing,Not-in-family,White,Male,United-States
33047,35,9,0,0,40,Private,Divorced,Adm-clerical,Unmarried,White,Female,United-States
11909,35,13,0,0,50,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
10616,21,8,0,0,25,Private,Never-married,Machine-op-inspct,Own-child,White,Male,United-States
12785,29,10,0,0,40,Private,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
15468,37,11,0,0,40,Private,Separated,Craft-repair,Not-in-family,White,Female,United-States
42784,74,13,0,0,35,Unknown,Widowed,Unknown,Not-in-family,Other,Female,United-States
45184,50,9,0,0,40,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
19141,47,14,0,0,40,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
6002,67,9,1848,0,99,Private,Divorced,Priv-house-serv,Unmarried,Black,Female,United-States
10545,26,9,0,0,50,Private,Never-married,Craft-repair,Own-child,White,Male,United-States
43623,63,6,0,0,40,Private,Separated,Machine-op-inspct,Not-in-family,Black,Male,United-States
42660,56,9,5013,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
34257,26,13,0,0,45,Private,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
28050,25,10,0,0,40,Private,Never-married,Tech-support,Not-in-family,Other,Female,United-States
19065,61,3,0,2339,40,Private,Never-married,Handlers-cleaners,Not-in-family,Black,Male,United-States
19734,18,9,0,0,12,Unknown,Never-married,Unknown,Other-relative,Other,Female,United-States
22433,46,5,0,0,40,Local-gov,Separated,Other-service,Unmarried,Black,Female,United-States
7792,69,9,0,0,20,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
36044,33,16,0,0,48,State-gov,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
48168,36,6,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
12072,66,9,0,0,24,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
7964,47,16,2354,0,45,State-gov,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,United-States
24560,36,9,0,0,50,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
47853,36,11,0,0,40,Private,Divorced,Adm-clerical,Unmarried,White,Female,United-States
28808,48,9,0,0,40,Private,Separated,Machine-op-inspct,Unmarried,Black,Female,United-States
13180,37,10,0,0,40,Private,Never-married,Craft-repair,Not-in-family,Black,Male,United-States
11146,51,13,99999,0,50,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,Mexico
20362,27,9,0,0,40,Private,Never-married,Handlers-cleaners,Own-child,White,Female,United-States
24370,51,13,0,0,43,Federal-gov,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,United-States
25435,53,9,0,0,40,Private,Divorced,Transport-moving,Not-in-family,White,Male,United-States
5277,31,12,0,0,40,Private,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
35559,27,9,0,0,28,Private,Never-married,Handlers-cleaners,Other-relative,White,Male,Guatemala
38246,21,10,0,0,10,Private,Never-married,Prof-specialty,Own-child,White,Male,United-States
1540,40,13,0,0,40,State-gov,Divorced,Adm-clerical,Unmarried,Black,Female,United-States
13604,50,9,0,0,40,Private,Never-married,Adm-clerical,Not-in-family,White,Male,United-States
29707,26,11,0,0,40,Private,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
38499,46,9,0,1590,43,Private,Divorced,Adm-clerical,Unmarried,White,Female,United-States
22865,39,14,0,0,50,Private,Never-married,Craft-repair,Not-in-family,White,Female,United-States
14658,25,10,0,0,30,Private,Never-married,Protective-serv,Own-child,White,Male,El-Salvador
36247,19,9,0,0,40,Private,Never-married,Other-service,Own-child,White,Female,United-States
6731,38,9,0,0,40,Private,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
41302,17,7,0,0,20,Private,Never-married,Craft-repair,Own-child,White,Male,United-States
38577,23,13,0,0,25,Private,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
22104,38,9,0,0,70,Self-emp-not-inc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Unknown
45128,55,10,0,0,40,Private,Divorced,Tech-support,Not-in-family,White,Female,United-States
14956,21,10,0,0,10,Private,Never-married,Other-service,Not-in-family,Black,Female,United-States
20346,66,9,0,0,40,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
13122,56,13,0,0,30,Self-emp-not-inc,Divorced,Farming-fishing,Not-in-family,White,Male,United-States
2453,42,7,0,0,47,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
19171,40,9,0,0,40,Private,Married-spouse-absent,Other-service,Own-child,White,Female,United-States
45494,25,10,0,0,40,Private,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
40840,18,9,0,0,30,Private,Never-married,Other-service,Own-child,White,Female,United-States
33180,20,9,0,0,26,Private,Separated,Sales,Own-child,White,Female,United-States
44818,47,14,0,0,50,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
14794,52,6,0,0,40,Private,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States
33523,30,9,0,0,40,Self-emp-inc,Divorced,Adm-clerical,Unmarried,White,Female,United-States
4818,38,10,0,0,40,Private,Divorced,Prof-specialty,Own-child,White,Female,United-States
3609,23,10,0,0,40,Private,Never-married,Other-service,Own-child,White,Male,United-States
1633,21,10,0,0,35,Private,Never-married,Sales,Own-child,White,Female,United-States
36829,23,11,0,0,25,Federal-gov,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
8082,40,13,0,0,35,Local-gov,Divorced,Prof-specialty,Unmarried,White,Female,United-States
14306,39,13,0,0,55,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
27189,64,10,0,0,40,Private,Divorced,Exec-managerial,Unmarried,White,Female,United-States
43755,30,12,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
48825,31,14,0,0,30,Private,Divorced,Other-service,Not-in-family,Other,Female,United-States
36834,30,13,0,0,45,Federal-gov,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,United-States
15045,20,10,0,0,20,Private,Never-married,Other-service,Own-child,White,Male,United-States
35887,46,4,0,0,32,Private,Separated,Other-service,Not-in-family,White,Female,United-States
37622,65,10,2290,0,40,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
47263,51,11,0,0,50,Private,Married-civ-spouse,Other-service,Husband,White,Male,Germany
48417,37,14,0,0,40,Private,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
10541,35,9,0,0,35,Private,Married-civ-spouse,Tech-support,Wife,White,Female,United-States
44494,27,9,0,0,40,Local-gov,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
40035,33,10,3908,0,40,Local-gov,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
5267,40,10,0,0,40,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
8885,55,9,0,0,45,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
22605,39,14,0,0,50,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
41006,19,10,0,0,25,Private,Never-married,Transport-moving,Own-child,White,Male,United-States
25658,55,10,0,0,40,Private,Widowed,Adm-clerical,Unmarried,White,Female,United-States
3473,36,13,0,0,35,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
2223,25,10,0,0,40,State-gov,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
45475,39,13,0,0,50,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Wife,White,Female,United-States
34,26,9,0,0,40,Private,Divorced,Exec-managerial,Unmarried,White,Female,United-States
42719,47,9,2174,0,40,Private,Widowed,Adm-clerical,Not-in-family,White,Female,England
12701,47,13,99999,0,40,Private,Divorced,Other-service,Not-in-family,White,Female,United-States
46878,42,14,0,0,40,Local-gov,Never-married,Prof-specialty,Unmarried,White,Female,United-States
4386,25,9,0,0,50,Private,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
40136,42,14,0,0,70,State-gov,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
42665,42,13,0,0,45,Private,Divorced,Adm-clerical,Unmarried,White,Female,United-States
14063,35,10,0,0,30,Private,Never-married,Other-service,Not-in-family,White,Female,United-States
14415,41,15,4787,0,60,Private,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
46824,22,9,0,0,40,Private,Never-married,Exec-managerial,Not-in-family,White,Male,Yugoslavia
44109,37,9,0,0,40,Self-emp-not-inc,Married-spouse-absent,Other-service,Unmarried,Black,Female,United-States
15140,42,13,2580,0,8,Unknown,Married-civ-spouse,Unknown,Husband,Black,Male,United-States
33340,45,10,0,0,40,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,United-States
1338,20,10,0,0,30,Unknown,Never-married,Unknown,Own-child,White,Male,United-States
18758,32,6,0,0,40,Private,Separated,Craft-repair,Not-in-family,White,Male,United-States
28945,28,9,0,0,40,Self-emp-inc,Never-married,Exec-managerial,Own-child,White,Male,United-States
260,50,10,0,0,50,Private,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
40174,43,9,0,0,40,Private,Divorced,Machine-op-inspct,Not-in-family,Black,Female,United-States
31994,30,13,0,0,40,Self-emp-inc,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
35124,35,12,0,0,40,State-gov,Widowed,Exec-managerial,Not-in-family,White,Female,United-States
15197,43,6,0,0,40,Local-gov,Married-civ-spouse,Other-service,Husband,White,Male,United-States
41978,60,10,0,0,50,Self-emp-not-inc,Married-civ-spouse,Sales,Husband,White,Male,United-States
29773,28,13,0,0,40,Private,Never-married,Exec-managerial,Own-child,White,Male,United-States
5861,51,10,0,0,40,Federal-gov,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
43984,25,13,0,0,50,Private,Never-married,Sales,Own-child,White,Male,United-States
561,32,10,0,0,40,Private,Never-married,Adm-clerical,Own-child,White,Female,United-States
9524,72,12,0,0,16,Unknown,Married-civ-spouse,Unknown,Husband,White,Male,United-States
43510,53,9,0,2002,40,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
44043,36,5,0,0,40,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
38128,19,9,0,0,30,Unknown,Never-married,Unknown,Own-child,White,Male,United-States
35471,17,8,0,0,15,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
35788,48,13,0,0,40,State-gov,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States
3356,22,9,0,0,40,Private,Never-married,Other-service,Own-child,White,Male,United-States
29200,67,7,0,0,40,Unknown,Married-civ-spouse,Unknown,Husband,White,Male,United-States
4310,39,13,0,0,40,Private,Divorced,Sales,Not-in-family,White,Male,United-States
44317,31,13,0,0,60,Self-emp-not-inc,Divorced,Craft-repair,Not-in-family,White,Male,United-States
10290,35,9,0,0,48,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
42835,35,10,0,0,40,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
5550,30,14,0,0,60,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
24625,27,9,0,0,45,Private,Divorced,Adm-clerical,Unmarried,White,Female,United-States
15590,40,9,8614,0,60,Private,Separated,Adm-clerical,Not-in-family,White,Female,United-States
3243,26,9,0,0,50,Self-emp-inc,Never-married,Farming-fishing,Not-in-family,White,Male,United-States
15565,52,6,0,0,27,Self-emp-not-inc,Divorced,Other-service,Own-child,White,Female,United-States
30374,35,10,0,0,60,Private,Divorced,Exec-managerial,Unmarried,White,Male,United-States
7397,21,9,0,0,40,Private,Never-married,Adm-clerical,Own-child,White,Male,United-States
43823,36,10,0,0,40,Private,Never-married,Craft-repair,Not-in-family,White,Female,United-States
47883,25,12,0,0,26,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
33387,23,9,0,0,40,Private,Never-married,Adm-clerical,Own-child,White,Female,United-States
26762,31,9,0,0,40,Private,Never-married,Exec-managerial,Unmarried,White,Female,United-States
8573,31,13,0,0,40,Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
8278,22,6,0,0,30,Private,Never-married,Sales,Own-child,White,Female,United-States
6327,62,16,15024,0,45,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
2138,28,3,0,0,40,Private,Never-married,Farming-fishing,Unmarried,Black,Male,Mexico
20375,21,6,0,0,36,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
